IBOVESPA - 2018
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2018;61;2.916.246.884.448,57;922.162.561.487,63
2/2018;61;2.928.154.497.757,42;902.386.667.619,11
3/2018;61;2.965.390.191.585,30;892.168.659.842,77
4/2018;61;2.961.894.507.906,04;850.850.164.576,10
5/2018;64;2.663.411.238.753,77;712.713.737.959,26
6/2018;64;2.510.860.305.805,10;651.190.493.751,00
7/2018;64;2.733.333.320.795,62;727.937.713.599,75
8/2018;64;2.639.313.053.286,83;638.239.802.018,43
9/2018;62;2.671.197.780.792,61;667.148.974.947,58
10/2018;62;2.916.773.138.709,43;784.563.880.546,93
11/2018;62;2.977.960.365.839,48;770.833.320.176,96
12/2018;63;2.894.364.336.823,38;746.971.285.440,11
