IBOVESPA - 2005
Mês/Ano;Nº Cias;Valor de mercado em R$;Valor de mercado em US$$

1/2005;45;615.315.633.932,78;234.423.816.646,19
2/2005;45;701.423.120.968,37;270.297.927.155,46
3/2005;45;664.037.867.507,63;249.057.785.427,82
4/2005;45;596.731.017.080,03;235.740.930.383,62
5/2005;47;622.453.017.457,99;258.945.427.014,69
6/2005;47;635.122.572.550,83;270.218.929.778,29
7/2005;47;659.585.955.348,75;275.919.663.396,24
8/2005;48;712.469.221.344,97;301.421.170.768,30
9/2005;48;795.499.572.865,79;357.978.387.573,47
10/2005;48;756.381.021.873,83;335.528.111.552,98
11/2005;48;808.524.845.768,51;366.345.648.286,57
12/2005;48;841.225.776.500,14;359.390.685.051,57
