Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,,,52321.76,,53031.31,52757.53,,45477.06,45313.27,,45046.75
2,48512.22,47650.73,51020.81,53123.02,,54236.43,53106.18,,46463.96,47033.46,,44914.53
3,,48963.66,51304.1,,,53522.9,52519.4,50138.04,47365.87,,48053.66,46393.26
4,,49301.05,50468.05,,57353.98,,,50058.48,46497.72,,47710.09,45360.75
5,47516.82,49233.85,50365.2,,58051.61,52973.37,,50287.27,,47598.06,48046.75,
6,48000.92,48792.27,49981.19,53737.26,57103.14,,52149.37,50011.32,,47735.11,46918.51,
7,49462.91,,,53729.16,56921.39,,52343.71,48577.32,,48914.32,,45222.69
8,49943.3,,,53661.11,57149.33,52809.63,51781.74,,46762.07,49106.55,,44443.25
9,48840.25,49382.58,49181.01,53802.66,,52815.99,,,46657.09,49338.41,46194.92,46108.02
10,,48510.28,48293.4,54214.11,,53876.44,52590.72,49353.0,46503.99,,46206.56,45630.7
11,,48239.67,48905.58,,57197.1,53688.51,,49072.34,46400.5,,47065.01,45262.72
12,48139.74,49532.72,48880.4,,56792.05,53347.53,,48388.04,,,46883.57,
13,48041.67,50635.92,48595.81,54239.77,56372.04,,53119.47,48009.56,,47362.63,46517.03,
14,47645.87,,,53981.92,56656.57,,53239.17,47508.4,47281.51,46710.43,,44747.31
15,48026.31,,,54918.74,57248.63,53137.53,52902.28,,47364.06,47161.15,,44872.46
16,49016.52,,48848.21,54674.21,,53702.15,53069.75,,48553.09,47236.1,46846.87,45015.84
17,,,50285.12,53954.79,,53248.54,52341.8,47217.42,48551.07,,47247.8,45261.47
18,,51280.36,51526.19,,56204.23,54238.59,,47450.58,47264.08,,47435.57,43910.59
19,47758.01,51294.03,50953.53,,55498.82,53749.41,,46588.39,,47447.31,48138.88,
20,47876.66,51237.7,51966.58,53761.27,54901.02,,51600.07,46649.23,,47076.55,,
21,49224.08,,,,55112.05,,51474.28,45719.64,46590.19,47025.86,,43199.95
22,49442.62,,,54617.36,54377.29,53863.67,50915.78,,46264.6,47772.14,,43469.51
23,48775.3,51280.64,51908.46,55684.85,,53772.43,49806.62,,45340.11,47596.58,48150.27,44014.93
24,,51874.17,51506.07,56594.22,,53842.53,49245.84,44336.47,45291.96,,48284.18,
25,,51811.02,51858.3,,54609.25,53175.66,,44544.85,44831.46,,46866.63,
26,48576.55,51760.54,50579.85,,53629.78,54016.97,,46038.07,,47209.32,47145.63,
27,48591.23,51583.09,50094.66,55534.5,54236.25,,48735.54,47715.27,,47042.94,45872.91,
28,47694.54,,,55812.03,53976.27,,49601.59,47153.86,43956.62,46740.84,,43764.33
29,47762.24,,,55325.29,52760.47,53014.21,50245.14,,44131.82,45628.35,,43653.96
30,46907.68,,51243.45,56229.38,,53080.88,49897.4,,45059.34,45868.81,45120.36,43349.96
31,,,51150.16,,,,50864.77,46625.52,,,,
