Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,117517.57,110334.83,115253.31,,128267.05,125666.19,,119395.6,112899.64,105550.86,100774.57
2,,118233.81,111539.8,,,129601.44,127621.65,122515.74,116677.08,,,104466.24
3,,119724.72,111183.95,,119209.48,,,123576.56,116933.24,,105616.88,105069.69
4,118854.71,119260.82,112690.17,,117712.0,130125.78,,121801.21,,110393.09,103412.09,
5,119376.21,120240.26,115202.23,117518.44,119564.44,,126920.05,121632.92,,110457.64,104824.23,
6,119100.08,,,117498.87,119920.61,,125094.88,122810.36,117868.63,110559.57,,106858.87
7,122385.92,,,117623.58,122038.11,130776.27,127018.71,,,110585.43,,107557.67
8,125076.63,119696.36,110611.58,118313.23,,129787.11,125427.77,,113412.84,112833.2,104781.13,108095.53
9,,119471.62,111330.62,117669.9,,129906.8,,123019.38,115360.86,,105535.08,106291.24
10,,118435.33,112776.49,,121909.03,130076.17,,122202.47,114285.93,,105967.51,107758.34
11,123255.13,119299.83,114983.76,,122964.01,129441.03,,122056.34,,112180.48,107594.67,
12,123998.0,119428.72,114160.4,118811.74,119710.03,,127593.83,120700.98,,,106334.54,
13,121933.08,,,119297.13,120705.91,,128167.74,121193.75,116403.72,113455.92,,107383.32
14,123480.52,,,120294.68,121880.82,130207.96,128406.51,,116180.55,113185.48,,106759.92
15,120348.8,,114850.74,120700.67,,130091.08,127467.88,,115062.54,114647.99,,107431.18
16,,,114018.78,121113.93,,129259.49,125960.26,119180.03,113794.28,,104403.66,108326.33
17,,120355.79,116549.44,,122937.87,128057.22,,117903.81,111439.37,,102948.45,107200.56
18,121241.63,119198.97,114835.43,,122979.96,128405.35,,116642.62,,114428.18,102426.0,
19,120636.39,118430.53,116221.58,120933.78,122636.3,,124394.57,117164.69,,110672.76,103035.02,
20,119646.4,,,120061.99,122700.79,,125401.36,118052.77,108843.74,110786.43,,105019.78
21,118328.99,,,,122592.47,129264.96,125929.25,,110249.73,107735.01,,105499.88
22,117380.49,112667.7,114978.86,119371.48,,128767.45,126146.66,,112282.28,106296.18,102122.37,105243.72
23,,115227.46,113261.8,120530.06,,128427.98,125052.78,117471.67,114064.36,,103653.82,104891.32
24,,115667.78,112064.19,,124031.62,129513.62,,120210.75,113282.67,,104514.19,
25,,112256.36,113749.9,,122987.71,127255.61,,120817.71,,108714.55,105811.25,
26,116464.06,110035.17,114780.62,120594.61,123989.17,,126003.86,118723.97,,106419.53,102224.26,
27,115882.3,,,119388.37,124366.57,,124612.03,120677.6,113583.01,106363.1,,105554.4
28,118883.25,,,121052.52,125561.37,127429.17,126285.59,,110123.85,105704.96,,104864.17
29,115067.55,,115418.72,120065.75,,127327.44,125675.33,,111106.83,103500.71,102814.03,104107.24
30,,,116849.67,118893.84,,126801.66,121800.79,119739.96,110979.1,,101915.45,104822.44
31,,,116633.72,,126215.73,,,118781.03,,,,
