Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,,,70966.7,,88620.1,96203.2,,102167.65,95478.52,,111399.91
2,118573.1,,106625.41,72253.46,,91046.38,96234.96,,101911.13,94015.68,,111878.53
3,117706.66,114629.21,105537.14,69537.56,,93002.14,96764.85,102829.96,100721.36,,95979.71,112291.59
4,,115556.71,107224.22,,78876.22,93828.61,,101215.87,101241.73,,97866.81,113750.22
5,,116028.27,102233.24,,79470.78,94637.06,,102801.76,,96089.19,100751.4,
6,116877.92,115189.97,97996.77,74072.98,79063.68,,98937.16,104125.64,,95615.03,100925.11,
7,116661.94,113770.29,,76358.09,78118.57,,97761.04,102775.55,,95526.26,,113589.77
8,116247.03,,,78624.62,80263.35,97644.67,99769.88,,100050.43,97919.73,,113793.06
9,115947.11,,86067.2,77681.94,,96746.55,99160.33,,101292.05,97483.31,103515.16,113001.16
10,115503.42,112570.3,92214.47,,,94685.98,100031.83,103444.48,98834.59,,105066.96,115128.63
11,,115370.61,85171.13,,79064.6,,,102174.4,98363.22,,104808.83,115128.0
12,,116674.13,72582.53,,77871.95,92795.27,,102117.79,,,102507.01,
13,117325.28,115662.4,82677.91,78835.82,77772.2,,98697.06,100460.6,,98502.82,104723.0,
14,117632.4,114380.71,,79918.36,79010.81,,100440.23,101353.45,100274.52,99334.43,,114611.12
15,116414.35,,,78831.46,77556.62,92375.52,101790.54,,100297.91,99054.06,,116148.63
16,116704.21,,71168.05,77811.85,,93531.17,100553.27,,99675.68,98309.12,106429.92,117857.35
17,118478.3,115309.08,74617.24,78990.29,,95547.29,102888.25,99595.41,100097.83,,107248.63,118400.57
18,,114977.29,66894.95,,81194.29,96125.24,,102065.35,98289.71,,106119.09,118023.67
19,,116517.59,68331.8,,80742.35,96572.1,,100853.72,,98657.65,106669.9,
20,118861.63,114586.24,67069.36,78972.76,81319.45,,104426.37,101467.87,,100539.83,106042.48,
21,117026.04,113681.42,,,83027.09,,104309.74,101521.29,96990.72,100552.44,,115822.57
22,118391.36,,,80687.15,82173.21,95335.96,104289.57,,97293.54,101917.73,,116636.18
23,119527.63,,63569.62,79673.3,,95975.16,102293.31,,95734.82,101259.75,107378.92,117806.85
24,118376.36,,69729.3,75330.61,,94377.36,102381.58,102297.95,97012.07,,109786.3,
25,,,74955.57,,85663.48,95983.09,,102117.64,96999.38,,110132.53,
26,,105718.29,77709.66,,85468.91,93834.49,,100627.33,,101016.96,110227.09,
27,114481.84,102983.54,73428.78,78238.6,87946.25,,104477.08,100623.64,,99605.54,110575.47,
28,116478.98,104171.57,,81312.23,86949.09,,104109.07,102142.93,94666.37,95368.76,,119123.7
29,115384.84,,,83170.8,87402.59,95735.35,105605.17,,93580.35,96582.16,,119409.15
30,115528.04,,74639.48,80505.89,,95055.82,105008.7,,94603.38,93952.4,108893.32,119017.24
31,113760.57,,73019.76,,,,102912.24,99369.15,,,,
