Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,67847.34,66242.63,69268.29,,63411.48,63394.34,58535.74,58118.2,,57322.75,58143.42
2,,66688.48,67281.51,,65462.75,64218.08,,57310.78,56531.62,,,57885.85
3,69962.32,66764.84,68145.53,,64318.18,64340.5,,56017.22,,50791.53,58196.3,
4,70317.79,65269.15,68012.1,69703.8,63615.5,,63891.31,52811.36,,50686.34,58669.92,
5,71091.03,,,69837.52,63407.01,,63038.81,52949.22,54998.41,51013.85,,58910.48
6,70578.83,,,69036.91,64417.34,63067.73,62565.46,,56607.3,52290.37,,59536.16
7,70057.2,65362.04,,69176.12,,63217.85,62207.33,,,51243.62,59198.77,58662.83
8,,65771.33,,68718.01,,63032.97,61513.24,48668.29,57623.63,,59026.13,57455.02
9,,64217.52,67263.75,,64621.97,63468.82,,51150.9,55778.39,,57549.74,58236.46
10,70127.04,64577.83,66040.66,,64876.88,62697.16,,51395.29,,53273.11,57321.81,
11,70423.44,65755.66,66684.6,68164.36,63775.82,,60223.63,53343.11,,53838.47,58546.97,
12,71632.9,,,66896.23,64003.16,,59704.75,53473.35,55685.47,,,57346.86
13,70721.44,,,66486.49,63235.3,62022.92,60669.89,,55543.97,54601.07,,57494.85
14,70940.22,66557.55,67169.25,66278.89,,62204.83,59679.35,,56286.04,55030.45,58258.23,56646.87
15,,66341.39,67005.22,66684.21,,61603.74,59478.01,54651.83,56381.46,,,56331.15
16,,67576.62,66002.57,,62829.68,60880.62,,54323.61,57210.11,,58559.99,56096.93
17,70609.07,67684.99,66215.93,,63673.34,61059.98,,55073.02,,53911.33,56988.9,
18,70919.75,68066.82,66879.89,65415.49,62840.61,,58837.61,53134.1,,55031.93,56731.34,
19,70058.08,,,66158.09,62367.36,,59082.13,52447.63,57102.78,54966.13,,55298.33
20,69561.53,,,67058.02,62596.52,61168.24,59119.71,,56378.63,54009.98,,56864.85
21,69133.09,67258.66,66689.61,,,61423.61,60262.95,,55981.9,55255.23,56284.59,56653.37
22,,66439.83,67578.33,,,61194.09,60270.47,52440.23,53280.28,,55878.44,57347.87
23,,66910.48,67795.51,,62345.18,,,53786.63,53230.36,,54972.08,57701.07
24,69426.57,66948.99,67532.97,,63336.75,61016.72,,53795.7,,56891.97,55279.88,
25,,66902.53,67765.94,66972.37,63388.44,,59970.54,52953.3,,56285.99,54894.49,
26,68709.22,,,67144.26,64098.57,,59339.9,53350.79,53747.52,57143.79,,57669.48
27,68050.71,,,66264.47,64294.96,61216.98,58288.46,,53920.36,59270.13,,58005.2
28,66697.57,67383.22,67192.82,65673.21,,62303.37,58708.25,,53270.36,59513.13,56017.35,56533.76
29,,,67418.76,66132.86,,62333.97,58823.45,54860.73,53384.67,,55299.76,56754.08
30,,,67997.06,,63953.93,62403.64,,55385.03,52324.42,,56874.98,
31,66574.88,,68586.7,,64620.08,,,56495.12,,58338.39,,
