Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,113228.31,,121570.15,,111359.94,98953.9,102225.08,110405.3,,116928.66,110925.6
2,,111894.36,115173.61,,106638.64,112392.91,,103361.7,110864.24,,,111923.93
3,103921.59,111695.94,115165.55,,106528.09,111102.32,,103774.68,,116134.46,116896.36,
4,103513.64,112244.94,114473.78,121279.51,108343.74,,98608.76,105892.22,,116230.12,118155.46,
5,101005.64,,,118885.15,105304.19,,98294.64,106471.92,112203.35,117197.82,,109401.41
6,101561.05,,,118227.75,105134.73,110185.91,98718.98,,109763.77,117560.83,,110188.57
7,102719.47,111996.4,111593.46,118862.12,,110069.76,100729.72,,,116375.25,115342.4,109068.55
8,,112234.46,111203.45,118322.26,,108367.67,100288.94,108402.27,109915.64,,116160.35,107249.04
9,,112461.39,113900.34,,103250.02,107093.71,,108651.05,112300.41,,113580.09,107519.56
10,101945.2,113367.77,113663.13,,103109.94,105481.23,,110235.76,,115940.64,109775.46,
11,103778.98,113572.35,111713.07,116952.85,104396.9,,98212.46,109717.94,,114827.12,112253.49,
12,105685.66,,,116146.86,105687.64,,98271.21,112764.26,113406.55,,,105343.33
13,105529.5,,,116781.96,106924.18,102598.18,97881.16,,110793.96,114300.09,,103539.67
14,106927.79,113899.19,109927.62,116181.61,,102063.25,96120.85,,110546.67,112072.34,113161.28,103745.77
15,,114828.18,108959.3,,,102806.82,96551.0,113031.98,109953.65,,,103737.69
16,,115180.95,111112.43,,108232.74,,,113512.38,109280.37,,110243.33,102855.7
17,106373.87,113528.48,113076.33,,108789.33,99824.94,,113707.76,,113623.98,109702.78,
18,106667.66,112879.85,115310.91,115687.25,106247.15,,96916.13,113812.87,,115743.07,108870.17,
19,108013.47,,,115056.66,107005.22,,98244.8,111496.21,111823.89,116274.24,,104739.75
20,109101.99,,,114343.78,108487.88,99852.67,98286.83,,112516.91,117171.11,,106864.11
21,108941.68,111725.3,116154.53,,,99684.5,99033.17,,111935.86,119928.79,109748.18,107433.14
22,,112891.8,117272.44,111077.51,,99522.32,98924.82,110500.53,114070.48,,109036.54,107551.52
23,,112007.61,117457.34,,110345.82,98080.34,,112857.1,111716.0,,108841.15,109697.57
24,107937.11,111591.87,119052.91,,110580.79,98672.26,,112897.84,,116012.7,111831.16,
25,110203.77,113141.94,119081.13,110684.95,110579.81,,100269.85,113531.72,,114625.59,108976.7,
26,111289.18,,,108212.86,111889.88,,99771.69,112298.86,109114.16,112763.79,,108737.75
27,112611.65,,,109349.37,111941.68,100763.6,101437.96,,108376.35,114640.76,,108578.2
28,111910.1,,118737.78,109918.97,,100591.41,102596.66,,108451.2,114539.05,108782.15,110236.71
29,,,120014.17,107876.16,,99621.58,103164.69,112323.12,107664.35,,110909.61,109734.6
30,,,120259.76,,111032.11,98541.95,,110430.64,110036.79,,112486.01,
31,112143.51,,119999.23,,111350.51,,,109522.88,,116037.08,,
