Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,112073.55,104384.67,,,110564.66,,121248.39,117892.96,,115052.96,128184.91
2,106376.02,110140.64,103325.61,,101926.95,112558.15,,120858.72,,115056.86,,
3,104165.74,108523.47,103865.99,101506.18,101797.09,,119672.78,120585.77,,113419.04,118159.97,
4,105334.46,,,101869.45,102174.34,,119076.37,119507.68,117776.62,113607.45,,126802.79
5,107641.32,,,100977.85,105148.48,112696.32,119549.21,,117331.3,113284.08,,126903.25
6,108963.7,108721.58,104700.32,100821.73,,114610.1,117425.7,,115985.34,114169.63,118431.25,125622.65
7,,107829.73,104227.93,,,115488.16,118897.99,119379.5,,,119268.06,126009.57
8,,109951.49,106540.32,,106042.15,,,119090.24,115313.4,,119176.67,127093.57
9,109129.57,108008.05,105071.19,,107113.66,117019.48,,118408.77,,115156.07,119034.14,
10,110816.71,108078.27,103618.2,101846.64,107448.21,,117942.44,118349.6,,116736.95,120568.14,
11,112517.08,,,106213.76,108256.4,,117555.52,118065.14,116883.34,117050.74,,126916.41
12,111850.22,,,106889.71,108463.84,117336.34,117666.49,,117968.12,,,126403.03
13,110916.08,108836.47,103121.36,106457.85,,116742.71,119263.89,,118175.97,115754.08,120410.17,129465.08
14,,107848.81,102932.38,106279.37,,119068.77,117710.54,116809.55,119391.55,,123165.76,130842.09
15,,109600.14,102675.45,,109029.12,119221.0,,116171.42,118757.53,,,130197.1
16,109212.66,109941.46,103434.66,,108193.68,118758.42,,115591.52,,116533.85,124639.24,
17,111439.12,109176.92,101981.53,106015.67,109459.95,,118219.46,114982.3,,115908.43,124773.21,
18,112228.39,,,106163.23,110108.46,,117841.19,115408.52,118288.21,114059.64,,131083.82
19,112921.88,,,103912.94,110744.51,119857.76,117552.07,,117845.78,114004.3,,131850.9
20,112040.64,,100922.89,104366.82,,119622.4,118082.9,,118695.32,113155.28,125957.06,130804.17
21,,,100998.13,,,120420.26,120216.77,114429.35,116145.05,,125626.03,132182.01
22,,107152.05,100220.63,,110213.12,118934.2,,116156.01,116008.64,,126035.3,132752.93
23,111737.28,107592.87,97926.34,,109928.53,118977.1,,118134.59,,112784.52,126575.75,
24,113028.15,105798.43,98829.27,103946.58,108799.54,,121341.69,117025.6,,113761.9,125517.27,
25,114270.07,,,103220.09,110054.38,,122007.77,115837.2,115924.61,112829.97,,
26,114177.55,,,102312.1,110905.51,118242.95,122560.38,,114193.43,114776.86,,133532.92
27,112316.16,105711.05,99670.47,102923.31,,117522.87,119989.64,,114327.05,113301.35,125731.45,134193.72
28,,104931.93,101185.09,104431.63,,116681.32,120187.11,117120.98,115730.76,,126538.32,134185.24
29,,,101792.52,,110333.4,118382.65,,118403.61,116565.17,,126165.64,
30,112273.01,,103713.45,,108967.03,118087.0,,117535.1,,112531.52,127331.12,
31,113430.54,,101882.2,,108335.07,,121942.98,115741.81,,113143.67,,
