Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,97861.28,94603.76,96054.46,,,101339.68,102125.94,,104053.4,108195.63,
2,91012.32,,,95386.76,95527.62,,100605.17,102673.68,100625.74,101031.44,,108927.83
3,91564.26,,,94491.48,96007.89,97020.48,102043.11,,99680.83,101516.04,,108956.02
4,91840.8,98588.64,,96313.07,,97380.28,103636.17,,101200.89,102551.32,108779.33,110300.93
5,,98311.21,,97108.17,,95998.75,104089.47,100097.75,102243.0,,108719.02,110622.27
6,,94635.57,94216.88,,95008.66,97204.85,,102163.69,102935.43,,108360.22,111125.75
7,91699.05,94405.6,94340.18,,94388.73,97821.26,,102782.37,,100572.77,109580.57,
8,92031.86,95343.11,95364.86,97369.29,95596.61,,104530.22,104115.23,,99981.4,107628.98,
9,93613.05,,,96291.79,94807.85,,,103996.16,103180.59,101248.78,,110977.23
10,93805.94,,,95953.45,94257.56,97466.69,105817.06,,103031.5,101817.13,,110672.01
11,93658.31,94412.92,98026.62,94754.7,,98960.0,105146.44,,103445.6,103831.92,108367.44,110963.87
12,,96168.4,97828.04,92875.0,,98320.88,103905.99,101915.22,104370.91,,106751.11,112199.74
13,,95842.41,98903.89,,91726.54,98773.7,,103299.47,103501.18,,106059.95,112564.86
14,94474.13,98015.1,98604.67,,92092.44,98040.06,,100258.01,,104301.58,106556.88,
15,94055.72,97525.91,99136.74,93082.97,91623.44,,103802.69,99056.91,,104489.56,,
16,94393.08,,,94333.31,90024.47,,103775.41,99805.78,103680.41,105422.8,,111896.04
17,95351.09,,,93284.75,89992.73,97623.25,103855.53,,104616.86,105015.77,,112615.66
18,96096.75,96509.89,99993.93,94578.26,,99404.39,104716.59,,104531.93,104728.89,106269.25,114314.65
19,,97659.16,99588.38,,,100303.41,103451.93,99468.67,104339.16,,105864.18,115131.25
20,,96544.82,98041.38,,91946.19,,,99222.25,104817.4,,,115121.08
21,96009.78,96932.28,96729.08,,94484.63,102012.64,,101201.9,,106022.28,107496.73,
22,95103.38,97885.6,93735.16,94588.06,94360.66,,103949.46,100011.28,,107381.11,108692.28,
23,96558.43,,,95923.24,93910.03,,103704.28,97667.49,104637.82,107543.59,,115863.29
24,97677.2,,,95045.43,93627.8,102062.33,104119.54,,103875.66,106986.15,,
25,,97239.9,93662.01,96552.03,,100092.95,102654.58,,104480.98,107363.77,108423.93,
26,,97602.5,95306.82,96236.04,,100688.63,102818.93,96429.6,105319.4,,107059.4,117203.2
27,,97307.32,91903.41,,94864.25,100723.97,,97276.19,105077.63,,107707.75,116533.98
28,95443.88,95584.35,94388.94,,96392.76,100967.2,,98193.53,,108187.06,108290.09,
29,95639.33,,95414.56,96187.75,96566.55,,103482.63,100524.43,,107556.26,108233.28,
30,96996.21,,,96353.33,97457.36,,102932.76,101134.61,104745.32,108407.54,,115645.34
31,97393.75,,,,97030.32,,101812.13,,,107219.83,,
