Dia,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
1,,40570.03,44121.79,50561.52,,49012.65,52233.04,56755.76,58236.26,,63326.41,59506.54
2,,38596.16,44893.48,,53561.53,49887.24,,56162.38,59616.39,,,60316.12
3,,39588.81,47193.39,,52260.18,50619.49,,57076.91,,59461.22,61750.17,
4,42141.03,40821.73,49084.86,48779.98,52552.79,,52568.65,57593.89,,59339.22,61598.39,
5,42419.32,40592.09,,49053.61,51671.04,,51842.27,57661.14,59566.34,60254.34,,59831.72
6,41773.14,,,48096.24,51717.82,50431.8,51901.8,,60129.43,60644.24,,61088.24
7,40694.72,,49246.1,48513.1,,50487.85,52014.65,,,61108.98,64051.65,61414.4
8,40612.2,,49102.13,50292.92,,51629.29,53140.74,57635.42,60231.65,,64157.67,60676.56
9,,,48665.09,,50990.06,51118.46,,57689.41,57999.72,,63258.26,60500.61
10,,40376.58,49571.1,,53070.9,49422.15,,56919.77,,61668.33,61200.95,
11,39950.49,39318.3,49638.67,50165.47,52764.46,,53960.11,58299.57,,61021.84,59183.5,
12,39513.82,39808.04,,52001.86,53241.31,,54256.4,58298.4,58586.11,,,59178.61
13,38944.44,,,53149.84,51804.3,49660.79,54598.28,,56820.77,61118.58,,59280.57
14,39500.1,,48867.33,52411.01,,48648.29,55480.86,,57059.46,61767.21,59657.46,58212.11
15,38569.12,40092.89,47130.02,53227.74,,48914.74,55578.23,59145.97,57909.48,,,58396.16
16,,40947.69,47763.43,,51802.92,49411.61,,58855.43,57079.75,,60759.31,58389.04
17,,41630.81,50913.78,,50839.44,49533.84,,59323.83,,62696.1,59770.47,
18,37937.27,41477.63,50814.65,52894.07,50561.7,,56484.21,59166.01,,63782.2,59961.76,
19,38057.01,41543.4,,53710.04,50132.53,,56698.06,59098.92,57350.37,63505.6,,57110.99
20,37645.47,,,53630.93,49722.74,50329.36,56578.04,,57736.45,63837.85,,57582.89
21,37717.1,,51171.54,,,50837.8,56641.48,,58393.92,64108.08,61070.27,57646.52
22,38031.22,43234.85,51010.19,52907.87,,50156.3,57002.08,57781.24,58994.16,,61954.47,57255.22
23,,42520.94,49690.04,,49330.42,51559.81,,58020.03,58697.0,,61985.9,57937.1
24,,42084.55,49657.39,,49345.18,50105.26,,57717.88,,64059.89,61395.53,
25,,41887.9,,51861.71,49482.85,,56872.72,57722.13,,63866.2,61559.07,
26,37497.47,41593.07,,53082.5,,,56782.75,57716.24,58053.53,63825.68,,58620.26
27,38376.36,,,54477.78,49051.49,49245.53,56852.84,,58382.48,64249.5,,58696.69
28,38630.19,,50838.22,54311.96,,50006.56,56667.11,,59355.76,64307.63,62855.49,59781.63
29,40405.99,42793.86,51154.99,53910.5,,51001.9,57308.2,58610.39,58350.56,,60986.51,60227.28
30,,,51248.92,,48964.34,51526.92,,58575.42,58367.04,,61906.35,
31,,,50055.27,,48471.7,,,57901.1,,64924.51,,
